"symbol","date","close"
"CL=F",2013-02-27,92.760002
"MXN=X",2013-02-27,12.7691
"CL=F",2013-02-28,92.050003
"MXN=X",2013-02-28,12.7823
"CL=F",2013-03-01,90.68
"MXN=X",2013-03-01,12.752
"CL=F",2013-03-03,NA
"CL=F",2013-03-04,90.120003
"MXN=X",2013-03-04,12.736
"CL=F",2013-03-05,90.82
"MXN=X",2013-03-05,12.6991
"CL=F",2013-03-06,90.43
"MXN=X",2013-03-06,12.7732
"CL=F",2013-03-07,91.559998
"MXN=X",2013-03-07,12.7583
"CL=F",2013-03-08,91.949997
"MXN=X",2013-03-08,12.6215
"CL=F",2013-03-10,NA
"CL=F",2013-03-11,92.059998
"MXN=X",2013-03-11,12.53
"CL=F",2013-03-12,92.540001
"MXN=X",2013-03-12,12.431
"CL=F",2013-03-13,92.519997
"MXN=X",2013-03-13,12.4409
"CL=F",2013-03-14,93.029999
"MXN=X",2013-03-14,12.4208
"CL=F",2013-03-15,93.449997
"MXN=X",2013-03-15,12.4288
"CL=F",2013-03-17,NA
"CL=F",2013-03-18,93.739998
"MXN=X",2013-03-18,12.4133
"CL=F",2013-03-19,92.160004
"MXN=X",2013-03-19,12.4442
"CL=F",2013-03-20,92.959999
"MXN=X",2013-03-20,12.3397
"CL=F",2013-03-21,92.449997
"MXN=X",2013-03-21,12.4237
"CL=F",2013-03-22,93.709999
"MXN=X",2013-03-22,12.347
"CL=F",2013-03-24,NA
"CL=F",2013-03-25,94.809998
"MXN=X",2013-03-25,12.3425
"CL=F",2013-03-26,96.339996
"MXN=X",2013-03-26,12.3534
"CL=F",2013-03-27,96.580002
"MXN=X",2013-03-27,12.3401
"CL=F",2013-03-28,97.230003
"MXN=X",2013-03-28,12.352
"CL=F",2013-03-29,NA
"MXN=X",2013-03-29,12.3013
"CL=F",2013-03-31,NA
"CL=F",2013-04-01,97.07
"MXN=X",2013-04-01,12.3503
"CL=F",2013-04-02,97.190002
"MXN=X",2013-04-02,12.2662
"CL=F",2013-04-03,94.449997
"MXN=X",2013-04-03,12.3475
"CL=F",2013-04-04,93.260002
"MXN=X",2013-04-04,12.3051
"CL=F",2013-04-05,92.699997
"MXN=X",2013-04-05,12.1722
"CL=F",2013-04-07,NA
"CL=F",2013-04-08,93.360001
